"Qty","Value","Footprint"
"49","100n","Footprints:SMD_0402"
"18","10p","Footprints:SMD_0402"
"3","2.2n","Footprints:SMD_0402"
"8","1u","Footprints:SMD_0603"
"4","220p","Footprints:SMD_0402"
"4","2.2u","Footprints:SMD_0603"
"30","10u","Footprints:SMD_0805"
"8","10n","Footprints:SMD_0402"
"30","DNP","Footprints:SMD_0402"
"8","DNP","Footprints:SMD_0603"
"4","18p","Footprints:SMD_0402"
"2","0.5p","Footprints:SMD_0402"
"13","DNP","Footprints:SMD_0805"
"22","470n","Footprints:SMD_0402"
"11","100p","Footprints:SMD_0402"
"9","4.7u","Footprints:SMD_0603"
"1","100u","Footprints:SMD_1210"
"3","47u","Footprints:SMD_1206"
"2","15p","Footprints:SMD_0402"
"1","SD_Card_DM3BT","fmcw3:DM3BT-DSF-PEJS"
"1","BARREL_JACK","Footprints:BarrelJack"
"6","LED","Footprints:Diode_0603"
"11","BLM18PG181SN1D","Footprints:SMD_0603"
"1","MPZ2012S101AT000","Footprints:SMD_0805"
"1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal"
"2","LQW15AN9N9J80D","Footprints:SMD_0402"
"2","0.6n","Footprints:SMD_0402"
"3","33u (SRR6040A-330M)","fmcw3:SRR6040A"
"4","2.2u","Footprints:SMD_0805"
"1","5.49k","Footprints:SMD_0402"
"1","3.3K","Footprints:SMD_0402"
"2","5.1k","Footprints:SMD_0402"
"1","1K","Footprints:SMD_0402"
"8","4.7k","Footprints:SMD_0402"
"16","0","Footprints:SMD_0402"
"3","16.7","Footprints:SMD_0402"
"4","33","Footprints:SMD_0402"
"9","49.9","Footprints:SMD_0402"
"4","22","Footprints:SMD_0402"
"2","100","Footprints:SMD_0402"
"11","1k","Footprints:SMD_0402"
"2","68k","Footprints:SMD_0402"
"3","100k","Footprints:SMD_0402"
"1","18.7K","Footprints:SMD_0402"
"2","12k","Footprints:SMD_0402"
"1","18k","Footprints:SMD_0402"
"2","2k","Footprints:SMD_0402"
"1","49.9k","Footprints:SMD_0402"
"2","18.7k","Footprints:SMD_0402"
"1","3.3k","Footprints:SMD_0402"
"4","20.5k","Footprints:SMD_0402"
"3","10k","Footprints:SMD_0402"
"1","2.2k","Footprints:SMD_0402"
"1","240","Footprints:SMD_0402"
"1","27","Footprints:SMD_0402"
"2","2","Footprints:SMD_0603"
"1","27.4k","Footprints:SMD_0402"
"2","SW_PUSH","fmcw3:EVP-AWBA2A"
"1","ADF4158","fmcw3:VFQFN-24"
"1","PAT1220-6dB","fmcw3:PAT1220"
"1","ECS-TXO-3225MV","Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm"
"1","NB3N551","fmcw3:DFN-8"
"1","TLV172DCK","TO_SOT_Packages_SMD:SOT-353_SC-70-5"
"1","LTC2292","Housings_DFN_QFN:QFN-64-1EP_9x9mm_Pitch0.5mm"
"2","TRF37A73","fmcw3:DFN-8-1EP_2x2mm_Pitch0.5mm"
"1","HMC431LP4","fmcw3:VQFN-24"
"2","SKY65404","fmcw3:XFDFN-6"
"1","PAT1220-3dB","fmcw3:PAT1220"
"1","TQP5525","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias"
"3","LMR51420","Footprints:SOT23_6"
"2","LP5907-3.0","fmcw3:SOT-23-5"
"1","LP2985A-10DBVR","fmcw3:SOT-23-5"
"3","LD3920","Package_DFN_QFN:DFN-8-1EP_4x4mm_P0.8mm_EP2.3x3.24mm"
"1","BU33SD5WG","fmcw3:SOT-23-5"
"3","5400BL15B050E","fmcw3:5400BL15B050E"
"1","ADL5802","Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm"
"1","XC7A35T-1FTG256C","fmcw3:FTG256"
"1","93LC46B","fmcw3:SOT-23-6"
"1","FT2232H","Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm"
"2","ADA4940-2","fmcw3:VFQFN-24"
"1","W25Q32JV","Housings_DFN_QFN:DFN-S-8-1EP_6x5mm_Pitch1.27mm"
"1","ABM10-167-12.000MHZ-T3","fmcw3:ABM10"

